구분,행정구역코드,1단계,2단계,3단계,nx,ny,lon,lat,address,stn,slope,pine_ratio,road_density,water_dist,fire_station,fs_lat,fs_lon
kor,4700000000,경상북도,,,87,106,128.505832256098,36.5759985118295,경상북도,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711100000,경상북도,포항시남구,,102,94,129.361666666666,36.0056861111111,경상북도 포항시남구,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711125000,경상북도,포항시남구,구룡포읍,105,94,129.548530555555,35.982075,경상북도 포항시남구 구룡포읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711125300,경상북도,포항시남구,연일읍,102,94,129.346419444444,35.988625,경상북도 포항시남구 연일읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711125600,경상북도,포항시남구,오천읍,103,93,129.417033333333,35.9601972222222,경상북도 포항시남구 오천읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711131000,경상북도,포항시남구,대송면,102,93,129.362244444444,35.9654944444444,경상북도 포항시남구 대송면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711132000,경상북도,포항시남구,동해면,104,94,129.442541666666,35.9855083333333,경상북도 포항시남구 동해면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711133000,경상북도,포항시남구,장기면,105,92,129.494919444444,35.8927777777777,경상북도 포항시남구 장기면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711135000,경상북도,포항시남구,호미곶면,106,96,129.5555306,36.0808541,경상북도 포항시 남구 호미곶면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711152500,경상북도,포항시남구,상대동,102,94,129.3569633,36.0140192,경상북도 포항시남구 상대동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711154500,경상북도,포항시남구,해도동,102,94,129.3714474,36.0232859,경상북도 포항시 남구 해도동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711155000,경상북도,포항시남구,송도동,102,94,129.377833333333,36.0288888888888,경상북도 포항시 남구 송도동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711156000,경상북도,포항시남구,청림동,103,94,129.407997222222,35.9943833333333,경상북도 포항시남구 청림동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711157000,경상북도,포항시남구,제철동,103,94,129.399419444444,35.9893111111111,경상북도 포항시남구 제철동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711158000,경상북도,포항시남구,효곡동,102,94,129.333177777777,36.0050472222222,경상북도 포항시남구 효곡동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711159000,경상북도,포항시남구,대이동,102,94,129.345333333333,36.0141583333333,경상북도 포항시남구 대이동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711300000,경상북도,포항시북구,,102,95,129.367908333333,36.03885,경상북도 포항시북구,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711325000,경상북도,포항시북구,흥해읍,102,96,129.344041666666,36.1041277777777,경상북도 포항시북구 흥해읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711331000,경상북도,포항시북구,신광면,100,97,129.265244444444,36.1270888888888,경상북도 포항시 북구 신광면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711332000,경상북도,포항시북구,청하면,102,98,129.339833333333,36.1961722222222,경상북도 포항시북구 청하면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711333000,경상북도,포항시북구,송라면,102,99,129.359230555555,36.2259,경상북도 포항시북구 송라면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711334000,경상북도,포항시북구,기계면,100,95,129.212555555555,36.0694583333333,경상북도 포항시북구 기계면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711335000,경상북도,포항시북구,죽장면,97,97,129.098022222222,36.1572222222222,경상북도 포항시 북구 죽장면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711336000,경상북도,포항시북구,기북면,99,96,129.1686,36.1256083333333,경상북도 포항시북구 기북면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711352000,경상북도,포항시북구,중앙동,102,95,129.366288888888,36.0367805555555,경상북도 포항시북구 중앙동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711363000,경상북도,포항시북구,양학동,102,94,129.352686111111,36.0223111111111,경상북도 포항시북구 양학동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711365500,경상북도,포항시북구,죽도동,102,95,129.3640625,36.0318403,경상북도 포항시북구 죽도동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711366500,경상북도,포항시북구,용흥동,102,95,129.359908333333,36.0354083333333,경상북도 포항시북구 용흥동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711368000,경상북도,포항시북구,우창동,102,95,129.363944444444,36.0516888888888,경상북도 포항시북구 우창동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711369000,경상북도,포항시북구,두호동,102,95,129.382352777777,36.0578694444444,경상북도 포항시북구 두호동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711370000,경상북도,포항시북구,장량동,102,95,129.381363888888,36.0671972222222,경상북도 포항시북구 장량동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4711371000,경상북도,포항시북구,환여동,103,95,129.400244444444,36.0669666666666,경상북도 포항시북구 환여동,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713000000,경상북도,경주시,,100,91,129.227022222222,35.8531694444444,경상북도 경주시,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713025000,경상북도,경주시,감포읍,105,90,129.503888888888,35.8043722222222,경상북도 경주시 감포읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713025300,경상북도,경주시,안강읍,100,93,129.229444444444,35.9871972222222,경상북도 경주시 안강읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713025600,경상북도,경주시,건천읍,98,90,129.104697222222,35.8470111111111,경상북도 경주시 건천읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713025900,경상북도,경주시,외동읍,102,88,129.327366666666,35.7129527777777,경상북도 경주시 외동읍,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713031500,경상북도,경주시,문무대왕면,104,89,129.445408333333,35.7880916666666,경상북도 경주시 문무대왕면,272,25,75,35,2.5,경북소방본부,36.5,
kor,4713032000,경상북도,경주시,양남면,104,87,129.462663888888,35.6747611111111,경상북도 경주시 양남면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713033000,경상북도,경주시,내남면,100,88,129.202475,35.749475,경상북도 경주시 내남면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713034000,경상북도,경주시,산내면,97,88,129.049575,35.7546444444444,경상북도 경주시 산내면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713035000,경상북도,경주시,서면,97,91,129.054866666666,35.8884083333333,경상북도 경주시 서면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713036000,경상북도,경주시,현곡면,100,91,129.204697222222,35.8633388888888,경상북도 경주시 현곡면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713037000,경상북도,경주시,강동면,101,93,129.275544444444,35.9847361111111,경상북도 경주시 강동면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713038000,경상북도,경주시,천북면,101,91,129.273430555555,35.8922916666666,경상북도 경주시 천북면,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713053000,경상북도,경주시,황오동,100,90,129.217055555555,35.8381388888888,경상북도 경주시 황오동,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713055000,경상북도,경주시,성건동,100,90,129.209641666666,35.8478222222222,경상북도 경주시 성건동,272,25,75,35,2.5,경북소방본부,36.5,128.7
kor,4713057000,경상북도,경주시,황남동,100,90,129.212866666666,35.8322972222222,경상북도 경주시 황남동,272,25,75,35,2.5,경북소방본부,36.5,128.7
